id,newperiod,score,correct,Hispanic,Black,Asian,Other race,Fall,Online,GPA,SAT verbal,SAT math,Female,Age,Parttime,Native Language English?,Sophomore or below,avgcor
1477,Pre-Covid,57.49999999999999,1,0,0,1,0,1,0,NA,610,610,1,19,0,1,1,0.6086956521739131
1603,Pre-Covid,52.5,1,0,0,1,0,1,0,NA,710,640,1,19,0,1,1,0.6956521739130435
1646,Pre-Covid,32.5,0,0,0,1,0,1,0,NA,610,620,1,19,0,1,1,0.391304347826087
313,Pre-Covid,50,1,0,0,1,0,1,0,3.0399999618530273,500,650,0,19,0,NA,1,0.4347826086956522
336,Pre-Covid,25,0,0,0,1,0,1,0,NA,440,460,1,21,0,NA,1,0.21739130434782608
536,Pre-Covid,42.5,0,0,0,1,0,1,0,3.069999933242798,520,670,0,20,0,NA,1,0.26086956521739124
561,Pre-Covid,42.5,1,0,0,1,0,1,0,2.299999952316284,530,600,1,20,0,NA,1,0.6956521739130435
631,Pre-Covid,57.49999999999999,1,0,0,1,0,1,0,3.700000047683716,570,680,0,19,0,NA,1,0.7391304347826086
852,Pre-Covid,55.00000000000001,0,0,0,1,0,1,0,3.1500000953674316,570,630,0,19,0,NA,1,0.6086956521739131
1015,Pre-Covid,67.5,1,0,0,1,0,1,0,3.440000057220459,570,640,0,19,0,NA,1,0.8695652173913043
1126,Pre-Covid,75,1,0,0,1,0,1,0,NA,530,720,1,19,0,0,1,0.9130434782608695
1317,Pre-Covid,80,1,0,0,1,0,1,0,4,640,570,1,19,0,1,1,0.9565217391304348
1349,Pre-Covid,42.5,0,0,0,1,0,1,0,NA,640,590,0,19,0,0,1,0.34782608695652173
1386,Pre-Covid,65,1,0,0,1,0,1,0,NA,610,590,1,19,0,0,1,1
1420,Pre-Covid,67.5,1,0,0,1,0,1,0,NA,790,620,0,19,0,0,1,0.782608695652174
1454,Pre-Covid,55.00000000000001,0,0,0,1,0,1,0,NA,610,610,1,19,0,1,1,0.30434782608695654
1481,Pre-Covid,55.00000000000001,1,0,0,1,0,1,0,NA,570,630,0,19,0,0,1,0.6956521739130435
1592,Pre-Covid,55.00000000000001,1,0,0,1,0,1,0,NA,530,680,0,19,0,NA,1,0.782608695652174
1754,Pre-Covid,52.5,1,0,0,1,0,1,0,NA,NA,NA,0,19,0,1,1,0.4347826086956522
1764,Pre-Covid,57.49999999999999,1,0,0,1,0,1,0,NA,NA,NA,0,19,0,0,1,0.782608695652174
1857,Pre-Covid,82.5,1,0,0,1,0,1,0,NA,530,780,0,20,0,NA,1,1
312,Pre-Covid,27.500000000000004,0,0,0,1,0,1,0,1.559999942779541,270,470,0,22,0,0,0,0.391304347826087
529,Pre-Covid,65,1,0,0,1,0,1,0,3.859999895095825,NA,NA,1,25,0,NA,1,0.6521739130434783
562,Pre-Covid,75,0,0,0,1,0,1,0,3.6700000762939453,NA,NA,1,24,0,0,0,0.6086956521739131
591,Pre-Covid,47.5,1,0,0,1,0,1,0,3.7100000381469727,NA,NA,0,23,0,NA,0,0.6521739130434783
859,Pre-Covid,42.5,1,0,0,1,0,1,0,NA,430,360,0,30,1,NA,1,0.6956521739130435
889,Pre-Covid,60,0,0,0,1,0,1,0,3.450000047683716,610,650,1,21,0,0,1,0.5217391304347826
901,Pre-Covid,82.5,1,0,0,1,0,1,0,3.9600000381469727,NA,NA,1,24,0,NA,0,0.9565217391304348
