ID,correct,post,female,r_white,r_hispa,r_black,r_asian,r_other,cumgpa,parttime,underclassperson,instructor,session,typegpa,year,online,lowgpa,difficulty,gpamiss,q1,q2,q3,q4,age,time
1751,0,0,0,1,0,0,0,0,3.3153605730711377,0,1,Henry,F,high,2019,0,0,h,1,0,1,0,0,24,1
1802,0,0,0,1,0,0,0,0,3.3153605730711377,0,1,Henry,F,high,2019,0,0,h,1,0,1,0,0,19,1
1886,1,0,0,1,0,0,0,0,3.3153605730711377,0,1,Henry,F,high,2019,0,0,h,1,0,1,0,0,23,1
1936,1,0,1,1,0,0,0,0,3.3153605730711377,1,1,Henry,F,high,2019,0,0,h,1,0,1,0,0,31,1
2649,0,0,0,1,0,0,0,0,3.3153605730711377,0,1,Joyce,F,high,2019,0,0,h,1,0,1,0,0,18,1
181,0,0,0,1,0,0,0,0,2.819999933242798,1,0,Sun,F,low,2019,0,1,h,0,1,0,0,0,23,1
644,0,0,0,1,0,0,0,0,3.5799999237060547,1,1,Sun,F,high,2019,0,0,h,0,0,0,1,0,23,1
674,1,0,0,1,0,0,0,0,4,0,1,Sun,F,high,2019,0,0,h,0,0,0,0,1,19,1
975,1,0,0,1,0,0,0,0,3.8499999046325684,0,1,Sun,F,high,2019,0,0,h,0,0,0,0,1,19,1
1077,1,0,0,1,0,0,0,0,3.3153605730711377,0,1,Sun,F,high,2019,0,0,h,1,0,1,0,0,19,1
1635,0,0,1,1,0,0,0,0,3.2100000381469727,0,1,Sun,F,low,2019,0,1,h,0,0,1,0,0,19,1
1692,1,0,1,1,0,0,0,0,3.819999933242798,0,1,Sun,F,high,2019,0,0,h,0,0,0,0,1,20,1
1706,1,0,0,1,0,0,0,0,3.3153605730711377,0,1,Sun,F,high,2019,0,0,h,1,0,1,0,0,19,1
339,0,0,0,0,0,0,1,0,2.690000057220459,0,1,Acosta,F,low,2019,0,1,h,0,1,0,0,0,27,1
544,0,0,1,0,0,0,1,0,4,0,1,Acosta,F,high,2019,0,0,h,0,0,0,0,1,19,1
570,1,0,0,0,0,0,1,0,4,0,1,Acosta,F,high,2019,0,0,h,0,0,0,0,1,19,1
585,0,0,1,0,0,0,1,0,3.700000047683716,0,1,Acosta,F,high,2019,0,0,h,0,0,0,0,1,19,1
696,1,0,1,0,0,0,1,0,4,0,1,Acosta,F,high,2019,0,0,h,0,0,0,0,1,21,1
714,1,0,0,0,0,0,1,0,3.3153605730711377,0,1,Acosta,F,high,2019,0,0,h,1,0,1,0,0,19,1
944,1,0,0,0,0,0,1,0,4,0,1,Acosta,F,high,2019,0,0,h,0,0,0,0,1,19,1
949,1,0,0,0,0,0,1,0,4,0,1,Acosta,F,high,2019,0,0,h,0,0,0,0,1,19,1
1005,0,0,0,0,0,0,1,0,3.2300000190734863,0,1,Acosta,F,low,2019,0,1,h,0,0,1,0,0,19,1
1365,1,0,1,0,0,0,1,0,3.3153605730711377,0,1,Acosta,F,high,2019,0,0,h,1,0,1,0,0,19,1
1411,1,0,1,0,0,0,1,0,3.3153605730711377,0,1,Acosta,F,high,2019,0,0,h,1,0,1,0,0,19,1
1417,1,0,0,0,0,0,1,0,3.3153605730711377,0,1,Acosta,F,high,2019,0,0,h,1,0,1,0,0,19,1
1455,1,0,1,0,0,0,1,0,3.3153605730711377,0,1,Acosta,F,high,2019,0,0,h,1,0,1,0,0,19,1
1508,0,0,0,0,0,0,1,0,3.3153605730711377,0,1,Acosta,F,high,2019,0,0,h,1,0,1,0,0,19,1
1517,1,0,1,0,0,0,1,0,3.3153605730711377,0,1,Acosta,F,high,2019,0,0,h,1,0,1,0,0,19,1
1557,1,0,1,0,0,0,1,0,3.3153605730711377,0,1,Acosta,F,high,2019,0,0,h,1,0,1,0,0,19,1
