ID,score,post,female,r_white,r_hispa,r_black,r_asian,r_other,cumgpa,parttime,underclassperson,instructor,session,year,online,lowgpa,gpamiss,q1,q2,q3,q4,age,time
452,30,0,1,1,0,0,0,0,1.2999999523162842,1,1,Henry,S,2019,0,1,0,1,0,0,0,46.776180267333984,1
453,65,0,1,0,0,1,0,0,3.086045744372349,0,1,Placido,S,2019,1,1,1,0,1,0,0,23.526351928710938,1
454,42.5,0,1,0,0,1,0,0,1.9600000381469727,0,1,Placido,S,2019,1,1,0,1,0,0,0,20.862422943115234,1
458,30,0,1,1,0,0,0,0,3.086045744372349,1,0,Henry,S,2019,0,1,1,0,1,0,0,20.443531036376953,1
461,37.5,0,1,0,0,0,1,0,3.086045744372349,0,0,Henry,S,2019,0,1,1,0,1,0,0,24.61054039001465,1
463,32.5,0,0,0,1,0,0,0,3.430000066757202,0,0,Placido,S,2019,1,0,0,0,0,1,0,20.692676544189453,1
464,55.00000000000001,0,0,1,0,0,0,0,1.7000000476837158,0,1,Placido,S,2019,1,1,0,1,0,0,0,21.357973098754883,1
468,52.5,0,0,0,0,0,1,0,2.8499999046325684,0,1,Placido,S,2019,1,1,0,1,0,0,0,20.61054039001465,1
478,72.5,0,1,0,0,0,1,0,3.4700000286102295,0,0,Henry,S,2019,0,0,0,0,0,1,0,25.02943229675293,1
481,70,0,1,0,1,0,0,0,4,0,0,Henry,S,2019,0,0,0,0,0,0,1,21.02943229675293,1
489,70,0,0,0,0,0,1,0,3.5399999618530273,0,0,Placido,S,2019,1,0,0,0,0,1,0,21.442848205566406,1
492,85,0,1,0,0,0,1,0,3.086045744372349,0,0,Henry,S,2019,0,1,1,0,1,0,0,22.357290267944336,1
496,27.500000000000004,0,1,0,0,0,1,0,3.5199999809265137,0,1,Placido,S,2019,1,0,0,0,0,1,0,18.60917091369629,1
497,45,0,1,0,0,0,1,0,3.086045744372349,0,0,Henry,S,2019,0,1,1,0,1,0,0,22.94318962097168,1
500,67.5,0,1,0,0,0,1,0,3.740000009536743,0,1,Henry,S,2019,0,0,0,0,0,0,1,19.110198974609375,1
505,42.5,0,1,0,0,0,1,0,3.086045744372349,0,1,Placido,S,2019,1,1,1,0,1,0,0,19.693361282348633,1
512,57.49999999999999,0,0,0,0,0,1,0,3.086045744372349,0,1,Placido,S,2019,1,1,1,0,1,0,0,20.777549743652344,1
522,72.5,0,0,1,0,0,0,0,2.990000009536743,0,0,Henry,S,2019,0,1,0,1,0,0,0,25.776865005493164,1
524,62.5,0,0,0,0,0,1,0,2.3499999046325684,0,0,Henry,S,2019,0,1,0,1,0,0,0,23.110198974609375,1
526,65,0,1,0,0,0,1,0,3.8399999141693115,0,1,Henry,S,2019,0,0,0,0,0,0,1,19.778234481811523,1
528,75,0,1,0,0,1,0,0,3,0,1,Placido,S,2019,1,1,0,1,0,0,0,20.03011703491211,1
550,60,0,1,0,1,0,0,0,3.509999990463257,0,1,Henry,S,2019,0,0,0,0,0,1,0,19.693361282348633,1
553,45,0,0,0,0,0,1,0,3.259999990463257,0,1,Placido,S,2019,1,1,0,0,1,0,0,18.5242977142334,1
557,55.00000000000001,0,1,1,0,0,0,0,3.086045744372349,0,1,Henry,S,2019,0,1,1,0,1,0,0,20.525667190551758,1
560,77.5,0,1,0,0,0,1,0,4,0,1,Placido,S,2019,1,0,0,0,0,0,1,18.861053466796875,1
564,62.5,0,1,0,0,0,1,0,3.930000066757202,0,1,Placido,S,2019,1,0,0,0,0,0,1,19.195072174072266,1
565,52.5,0,0,0,0,0,1,0,2.119999885559082,0,1,Green,S,2019,0,1,0,1,0,0,0,18.776180267333984,1
568,55.00000000000001,0,0,0,0,0,1,0,3,0,1,Green,S,2019,0,1,0,1,0,0,0,18.776180267333984,1
573,87.5,0,1,0,0,0,1,0,3.086045744372349,0,1,Placido,S,2019,1,1,1,0,1,0,0,19.526351928710938,1
575,80,0,0,0,0,0,1,0,4,0,1,Henry,S,2019,0,0,0,0,0,0,1,18.442163467407227,1
593,62.5,0,0,0,1,0,0,0,3.359999895095825,0,1,Green,S,2019,0,0,0,0,1,0,0,20.525667190551758,1
600,60,0,0,0,0,0,1,0,2.819999933242798,0,1,Henry,S,2019,0,1,0,1,0,0,0,19.02806282043457,1
601,95,0,1,1,0,0,0,0,3.086045744372349,0,1,Placido,S,2019,1,1,1,0,1,0,0,23.778234481811523,1
610,70,0,0,1,0,0,0,0,3.7699999809265137,0,1,Henry,S,2019,0,0,0,0,0,0,1,19.02806282043457,1
612,50,0,1,0,0,0,1,0,3.086045744372349,0,0,Henry,S,2019,0,1,1,0,1,0,0,22.02874755859375,1
615,72.5,0,1,1,0,0,0,0,3.086045744372349,0,0,Placido,S,2019,1,1,1,0,1,0,0,46.3572883605957,1
618,62.5,0,1,0,0,0,1,0,2.6600000858306885,0,1,Placido,S,2019,1,1,0,1,0,0,0,18.691307067871094,1
621,45,0,0,0,1,0,0,0,3.140000104904175,0,1,Henry,S,2019,0,1,0,0,1,0,0,20.862422943115234,1
633,62.5,0,1,0,0,0,1,0,3.4200000762939453,0,1,Green,S,2019,0,0,0,0,0,1,0,20.197124481201172,1
639,57.49999999999999,0,1,0,0,0,1,0,2.809999942779541,0,1,Henry,S,2019,0,1,0,1,0,0,0,18.60917091369629,1
640,42.5,0,1,0,0,0,1,0,3.7699999809265137,0,1,Green,S,2019,0,0,0,0,0,0,1,19.359342575073242,1
643,52.5,0,0,1,0,0,0,0,3.809999942779541,0,1,Henry,S,2019,0,0,0,0,0,0,1,18.776180267333984,1
645,65,0,1,1,0,0,0,0,3.430000066757202,0,1,Green,S,2019,0,0,0,0,0,1,0,19.110198974609375,1
647,50,0,1,1,0,0,0,0,3.086045744372349,0,1,Placido,S,2019,1,1,1,0,1,0,0,20.273784637451172,1
665,57.49999999999999,0,1,0,0,0,1,0,2.3399999141693115,0,1,Green,S,2019,0,1,0,1,0,0,0,19.195072174072266,1
676,55.00000000000001,0,0,0,0,1,0,0,3.119999885559082,0,1,Placido,S,2019,1,1,0,0,1,0,0,19.27446937561035,1
681,57.49999999999999,0,1,0,0,0,1,0,1.9299999475479126,0,1,Henry,S,2019,0,1,0,1,0,0,0,19.359342575073242,1
682,57.49999999999999,0,1,0,0,0,1,0,2.740000009536743,0,1,Placido,S,2019,1,1,0,1,0,0,0,19.526351928710938,1
686,35,0,0,0,0,0,1,0,2.8399999141693115,0,1,Placido,S,2019,1,1,0,1,0,0,0,19.778234481811523,1
687,77.5,0,0,1,0,0,0,0,3.549999952316284,0,1,Placido,S,2019,1,0,0,0,0,1,0,19.444215774536133,1
